,Session,Trial,Time-to-Target,Target,Success,Stim Paradigm,Path Efficiency,Shortest Distance,ToD,Average Speed,Total Distance,AD,Target Crosses,Tuning Width
154,2,25,2.611296294,"[[468, 276], b'H']",1,Combined,0.228679368,5.742482371,0.597149586,10.80989004,25.11150186,0.206462592,0,Narrow
155,2,26,5.510672808,"[[468, 391], b'I']",0,Combined,0.61382057,6.064255854,3.382564322,2.546679165,9.879525311,0.636924246,0,Narrow
156,2,27,5.51113081,"[[351, 276], b'E']",0,Combined,0.140383095,9.449064996,0.773669602,13.04655409,67.30913702,0.095987147,2,Narrow
157,2,28,5.501043081,"[[351, 276], b'E']",0,Sham,0.28315095,13.45479253,1.557625572,8.693333139,47.51809079,0.089626135,1,Narrow
158,2,29,5.507216692,"[[468, 391], b'I']",0,Combined,0.113533619,4.997239587,0.625254243,8.051185352,44.01550502,0.210445165,1,Narrow
159,2,30,5.505746126,"[[468, 159], b'G']",0,Combined,0.214725529,9.200332281,1.182224251,8.387252323,42.84694192,0.196027841,0,Narrow
160,2,31,3.013517437,"[[468, 391], b'I']",1,Bright Visual Only,0.268370713,7.7876238,0.808739824,11.29792737,29.01815815,0.27402359,0,Narrow
161,2,32,5.514502048,"[[235, 391], b'C']",0,Sham,0.515430247,16.81509915,2.842341154,6.086676024,32.62342332,0.13850601,0,Narrow
162,2,33,5.509145737,"[[351, 276], b'E']",0,Combined,0.265949762,12.43661769,1.465155996,8.543407837,46.76303376,0.139437699,1,Narrow
163,2,34,5.50795722,"[[351, 276], b'E']",0,Combined,0.774339146,17.52799878,4.265026892,4.165022641,22.63607473,0.2619739,0,Narrow
164,2,35,0.80571997,"[[468, 391], b'I']",1,Combined,0.972806664,8.557979543,0.783809756,10.87297273,8.797204888,0.334907062,0,Narrow
165,2,36,5.51256609,"[[351, 159], b'D']",0,Combined,0.291078105,12.00432459,1.604587292,7.952393043,41.24090537,0.109104481,1,Narrow
166,2,37,5.509936333,"[[235, 276], b'B']",0,Combined,0.269421901,13.30026115,1.484497524,9.014921498,49.36592414,0.261790388,1,Narrow
167,2,38,0.576547025,"[[468, 276], b'H']",1,Combined,0.428510668,2.302399556,0.247056551,9.030194441,5.373027384,0.333223981,0,Narrow
168,2,39,5.515833855,"[[235, 159], b'A']",0,Combined,0.41847196,18.41679365,2.308221802,8.044548566,44.00962413,0.007129391,0,Narrow
169,2,40,5.504789591,"[[351, 159], b'D']",0,Bright Visual Only,0.250604565,10.84032764,1.379525399,7.938377406,43.25670465,0.115632386,0,Narrow
170,2,41,5.505848885,"[[235, 159], b'A']",0,Combined,0.515909069,18.35224584,2.840517372,6.521676946,35.57263661,0.233147156,0,Narrow
171,2,42,3.178226827,"[[468, 276], b'H']",1,Combined,0.06262495,2.115014889,0.199036295,11.07465484,33.77271997,0.027395106,1,Narrow
